IdOportunidad,IdEmpresa,IdPropietario,TipoDivisaAjuste,Zona,Importe,FechaCierre,Participantes,ImporteEnMXN,ClasificacionZona,RangoImporte,RendimientoPorZona,AñoCierre,MesCierre,ImporteAcumulado,CrecimientoRelativo
0068X00001GHO6ZQAX,0014100001uMqxNAAS,0053f000000ERMNAA4,MXN,ZONA 2,256880,31/05/2023,20,256880,Central,Bajo,12844,2023,5,46125076,155.4638582
0068X00001GHO9TQAX,0013f000002GTo3AAG,0053f000000ERMNAA4,MXN,ZONA 2,115200,31/05/2023,0,115200,Central,Bajo,115200,2023,5,46240276,155.8546356
0068X00001GNT2xQAH,0012M0000255KjrQAE,00541000007N8XPAA0,MXN,ZONA 5,210000,31/05/2023,25,210000,Periferica,Bajo,8400,2023,5,15438992,33.30887111
0068X00001GO89QQAT,0018X00003BUWwSQAX,0058X00000FQMA0QAP,USD,ZONA 1,50000,31/05/2023,0,1010000,Central,Medio,1010000,2023,5,31023928.2,47.91203916
0068X00001GOimOQAT,0018X000032XezTQAS,00541000007Mjh2AAC,MXN,ZONA 1,380000,31/05/2023,0,380000,Central,Bajo,380000,2023,5,28268994.2,112.8694189
0068X00001GOmGsQAL,0012M000026BBGnQAO,00541000007Mji0AAC,MXN,ZONA 4,294550,31/05/2023,11,294550,Periferica,Bajo,26777.27273,2023,5,72288175,313.296413
0068X00001Hhxv0QAB,0012M000026BBGnQAO,00541000007Mji0AAC,MXN,ZONA 4,368450,31/05/2023,17,368450,Periferica,Bajo,21673.52941,2023,5,72656625,314.8983696
0068X00001Hhz2IQAR,0012M0000257ERhQAM,00541000002payqAAA,MXN,ZONA 3,0,31/05/2023,0,0,Periferica,Muy Bajo,0,2023,5,76406698.2,253.688994
0068X00001Hj6KKQAZ,0014100001uMuYXAA0,0053f000000lhfmAAA,MXN,ZONA 5,530000,31/05/2023,0,530000,Periferica,Bajo,530000,2023,5,35618655,101.3524569
0068X00001Hjo2aQAB,0014100001WJKaJAAX,0053f000000mM3KAAU,MXN,ZONA 4,267800,31/05/2023,36,267800,Periferica,Bajo,7438.888889,2023,5,34241061.8,122.7479646
0068X00001HjvZmQAJ,0014100001uNFpFAAW,00541000007MjftAAC,MXN,ZONA 2,13960,31/05/2023,26,13960,Central,Muy Bajo,536.9230769,2023,5,25820813,217.8204492
0068X00001Hk5F0QAJ,0014100001l5RN4AAM,00541000007MjgZAAS,MXN,ZONA 3,452000,31/05/2023,30,452000,Periferica,Bajo,15066.66667,2023,5,53299150,296.5943607
0068X00001HkfacQAB,0018X00003EyGqCQAV,00541000007Mjg1AAC,USD,ZONA 1,3500,31/05/2023,30,70700,Central,Bajo,2356.666667,2023,5,32815928,22.04327505
0068X00001HkfaXQAR,0018X00003EyGqCQAV,00541000007Mjg1AAC,USD,ZONA 1,4027,31/05/2023,25,81345.4,Central,Bajo,3253.816,2023,5,32897273.4,22.10039562
0068X00001HkfRmQAJ,0018X00003EyGqCQAV,00541000007Mjg1AAC,MXN,ZONA 1,135050,31/05/2023,30,135050,Central,Bajo,4501.666667,2023,5,33032323.4,22.19522744
0068X00001HkfRSQAZ,0018X00003EyGqCQAV,00541000007Mjg1AAC,MXN,ZONA 1,313855,31/05/2023,25,313855,Central,Bajo,12554.2,2023,5,33346178.4,22.41561576
0068X00001HkfS1QAJ,0018X00003EyGqCQAV,00541000007Mjg1AAC,USD,ZONA 1,7300,31/05/2023,30,147460,Central,Bajo,4915.333333,2023,5,33493638.4,22.51916186
0068X00001HkPmSQAV,0018X00003BVbmBQAT,0053f000000tqH5AAI,MXN,ZONA 5,0,31/05/2023,0,0,Periferica,Muy Bajo,0,2023,5,1483500,5.312765957
0068X00001HlPG9QAN,0013f0000036KXnAAM,00541000007MjguAAC,MXN,ZONA 2,22900,31/05/2023,30,22900,Central,Muy Bajo,763.3333333,2023,5,28498355,29.52196102
0068X00001J7tR5QAJ,0018X00003EzSjiQAF,0052M000008Jq5HQAS,MXN,ZONA 3,450000,31/05/2023,0,450000,Periferica,Bajo,450000,2023,5,20785633,6.915321021
0068X00001J7znxQAB,0012M00002BOY7YQAX,0052M000008ag3jQAA,MXN,ZONA 5,267750,31/05/2023,0,267750,Periferica,Bajo,267750,2023,5,37247552,140.5266582
0068X00001J7zxiQAB,0012M00002BOY7YQAX,0052M000008ag3jQAA,MXN,ZONA 5,267750,31/05/2023,0,267750,Periferica,Bajo,267750,2023,5,37515302,141.5440072
0068X00001J800DQAR,0013f000003SqumAAC,0052M000008ag3jQAA,MXN,ZONA 5,69970,31/05/2023,25,69970,Periferica,Bajo,2798.8,2023,5,37585272,141.8098669
0068X00001J82IvQAJ,0018X00003EzjUzQAJ,00541000007MjguAAC,MXN,ZONA 2,80796,31/05/2023,0,80796,Central,Bajo,80796,2023,5,28579151,29.60849416
0068X00001J879FQAR,0013f000004YI4pAAG,0053f000000DoGpAAK,MXN,ZONA 3,68100,31/05/2023,20,68100,Periferica,Bajo,3405,2023,5,37460375,123.8679167
0068X00001DiFqOQAV,0018X000031bg0OQAQ,0053f000000n61AAAQ,MXN,ZONA 1,655500,30/05/2023,30,655500,Central,Bajo,21850,2023,5,2239300,1.843555556
0068X00001DjYfDQAV,0018X000032VT0gQAG,00541000007Mjh2AAC,MXN,ZONA 1,813200,30/05/2023,30,813200,Central,Bajo,27106.66667,2023,5,29082194.2,116.1450435
0068X00001GGrRHQA1,0018X00003BVHkHQAX,0058X00000FQzgUQAT,MXN,ZONA 2,0,30/05/2023,0,0,Central,Muy Bajo,0,2023,5,27037714,119.1676178
0068X00001GNKvFQAX,0013f000004YkX1AAK,00541000007Mjh2AAC,MXN,ZONA 1,1354100,30/05/2023,20,1354100,Central,Medio,67705,2023,5,30436294.2,121.5994498
0068X00001HikrAQAR,0014100001bPuldAAC,0053f000000ETPiAAO,MXN,ZONA 3,130000,30/05/2023,15,130000,Periferica,Bajo,8666.666667,2023,5,34287160,633.9474074
0068X00001Hj0JnQAJ,0014100001uMqQ7AAK,0052M000008ag3jQAA,MXN,ZONA 5,204250,30/05/2023,0,204250,Periferica,Bajo,204250,2023,5,37789522,142.5859399
0068X00001HkRvKQAV,0013f000003VrCdAAK,005UG00000349npYAA,MXN,ZONA 5,0,30/05/2023,0,0,Periferica,Muy Bajo,0,2023,5,503895,7.468823529
0068X00001HlLvkQAF,0018X00003Exzo9QAB,0053f000000n61AAAQ,MXN,ZONA 1,114000,30/05/2023,105,114000,Central,Bajo,1085.714286,2023,5,2353300,1.98831746
0068X00001J7zUBQAZ,0013f000002IHvcAAG,00541000002payqAAA,MXN,ZONA 3,22300,30/05/2023,50,22300,Periferica,Muy Bajo,446,2023,5,76428998.2,253.7633273
0068X00001J7zzeQAB,0013f0000070WKsAAM,00541000007Mjg2AAC,MXN,ZONA 2,392259,30/05/2023,25,392259,Central,Bajo,15690.36,2023,5,24047782,95.191128
0068X00001J81VBQAZ,0014100001vaxAbAAI,00541000007MjgVAAS,MXN,ZONA 3,125380,30/05/2023,30,125380,Periferica,Bajo,4179.333333,2023,5,46915665,83.53272973
0068X00001J82PSQAZ,0014100001bPuldAAC,0053f000000ETPiAAO,MXN,ZONA 3,44900,30/05/2023,5,44900,Periferica,Muy Bajo,8980,2023,5,34332060,634.7788889
